date,sector,year,month,quarter,month_name,yearmonth,avg_close,avg_daily_return,total_volume,avg_volatility,stock_count
2024-04-15,Banking,2024,4,2,Apr,2024-04,102.556,-0.002569362565725597,3432451,0.013053320098356205,5
2024-04-15,Cement,2024,4,2,Apr,2024-04,263.1325,0.009119966000554869,13885121,0.01920760209801143,4
2024-04-15,Energy,2024,4,2,Apr,2024-04,91.55199999999999,0.020138660183308964,33574550,0.019886907333165154,5
2024-04-15,Fertilizer,2024,4,2,Apr,2024-04,128.965,0.005581141889466373,9676532,0.01907511712768384,4
2024-04-15,Technology,2024,4,2,Apr,2024-04,147.04500000000002,-0.012529432075514324,11532699,0.02887605082638351,4
2024-04-16,Banking,2024,4,2,Apr,2024-04,103.678,0.013760590967013297,20070892,0.01355324438514884,5
2024-04-16,Cement,2024,4,2,Apr,2024-04,262.74,-0.009362486495372219,9031962,0.019255905095117955,4
2024-04-16,Energy,2024,4,2,Apr,2024-04,91.3,0.0005909217790502463,30210230,0.019581455200859518,5
2024-04-16,Fertilizer,2024,4,2,Apr,2024-04,128.38,0.0029655038374896414,11790863,0.019761522279756617,4
2024-04-16,Technology,2024,4,2,Apr,2024-04,147.6,0.002023878740996632,13567961,0.028274519386720133,4
2024-04-17,Banking,2024,4,2,Apr,2024-04,104.58399999999999,0.013446795481991392,9533554,0.013778650780556337,5
2024-04-17,Cement,2024,4,2,Apr,2024-04,263.975,0.0029370174396036175,5756830,0.0185622787758756,4
2024-04-17,Energy,2024,4,2,Apr,2024-04,89.76599999999999,-0.01615314595131625,11762269,0.01976186882902954,5
2024-04-17,Fertilizer,2024,4,2,Apr,2024-04,126.495,-0.018719748118127405,4072373,0.02008482081257485,4
2024-04-17,Technology,2024,4,2,Apr,2024-04,147.1325,-0.003982498496465564,7682792,0.025337386616989685,4
2024-04-18,Banking,2024,4,2,Apr,2024-04,104.9,0.0023570675666213735,7577789,0.013465825074813281,5
2024-04-18,Cement,2024,4,2,Apr,2024-04,261.05,-0.0038973418205061894,7644083,0.01848477557180016,4
2024-04-18,Energy,2024,4,2,Apr,2024-04,90.238,0.003424164715511946,14832198,0.01932024169391306,5
2024-04-18,Fertilizer,2024,4,2,Apr,2024-04,127.36,0.016481200814552982,9042306,0.020743211260787715,4
2024-04-18,Technology,2024,4,2,Apr,2024-04,146.4325,-0.010010099099880293,7348654,0.02484733343967099,4
2024-04-19,Banking,2024,4,2,Apr,2024-04,106.13399999999999,0.013600643376930722,6966364,0.013577431210667543,5
2024-04-19,Cement,2024,4,2,Apr,2024-04,259.9775,-0.00526599975714781,6545541,0.018379475709621302,4
2024-04-19,Energy,2024,4,2,Apr,2024-04,91.286,0.007611075345393292,16944359,0.019208387676155562,5
2024-04-19,Fertilizer,2024,4,2,Apr,2024-04,129.51,0.0255027617750187,11472454,0.019671121042552538,4
2024-04-19,Technology,2024,4,2,Apr,2024-04,146.155,0.004848287805566093,16068376,0.02487601922559875,4
2024-04-22,Banking,2024,4,2,Apr,2024-04,107.378,0.012397720562077597,53650951,0.013643077970799167,5
2024-04-22,Cement,2024,4,2,Apr,2024-04,265.425,0.019242446630556076,13917064,0.018586456839018044,4
2024-04-22,Energy,2024,4,2,Apr,2024-04,91.626,0.007794417624598671,29635095,0.017743489335998813,5
2024-04-22,Fertilizer,2024,4,2,Apr,2024-04,130.18,0.017754198783391018,9580600,0.019971823346174172,4
2024-04-22,Technology,2024,4,2,Apr,2024-04,149.8175,0.0353776798080197,29066369,0.025552608348367204,4
2024-04-23,Banking,2024,4,2,Apr,2024-04,108.054,0.0032089914032539914,15800518,0.013764028454338845,5
2024-04-23,Cement,2024,4,2,Apr,2024-04,271.425,0.02487138529638372,39395246,0.01915459151303417,4
2024-04-23,Energy,2024,4,2,Apr,2024-04,90.562,-0.01277115305233103,13442362,0.017254144764238886,5
2024-04-23,Fertilizer,2024,4,2,Apr,2024-04,129.815,-0.006967175868695774,9656949,0.020150660616358576,4
